time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
5.223711520826655799e-07,5.223711520826655799e-07,2.800000000000000000e+01,2.800000000000003553e+01,2.549997844168770733e+00,2.549999999999999822e+00,2.800000000000003553e+01,2.549997844168770733e+00,2.800000000000000000e+01,2.549999999894256852e+00
1.044742304165331160e-06,5.223711520826655799e-07,2.800000000000000000e+01,2.800000000000011724e+01,2.549995699613250899e+00,2.549999999999999822e+00,2.800000000000011724e+01,2.549995699613250899e+00,2.800000000000000000e+01,2.549999999788512994e+00
2.073040028436146405e-06,1.028297724270815245e-06,2.800000000000000000e+01,2.800000000000035172e+01,2.549991507112681077e+00,2.549999999999999822e+00,2.800000000000035172e+01,2.549991507112681077e+00,2.800000000000000000e+01,2.549999999580356391e+00
3.101337752706961651e-06,1.028297724270815245e-06,2.800000000000000000e+01,2.800000000000069633e+01,2.549987356332690247e+00,2.549999999999999822e+00,2.800000000000069633e+01,2.549987356332690247e+00,2.800000000000000000e+01,2.549999999372198900e+00
4.129635476977777320e-06,1.028297724270815669e-06,2.800000000000000000e+01,2.800000000000112976e+01,2.549983248188180340e+00,2.549999999999999822e+00,2.800000000000112976e+01,2.549983248188180340e+00,2.800000000000000000e+01,2.549999999164042297e+00
6.758985427002085154e-06,2.629349950024307834e-06,2.800000000000000000e+01,2.800000000000255440e+01,2.549972934352643161e+00,2.549999999999999822e+00,2.800000000000255440e+01,2.549972934352643161e+00,2.800000000000000000e+01,2.549999998631788500e+00
9.388335377026392988e-06,2.629349950024307834e-06,2.800000000000000000e+01,2.800000000000436273e+01,2.549962887729232186e+00,2.549999999999999822e+00,2.800000000000436273e+01,2.549962887729232186e+00,2.800000000000000000e+01,2.549999998099537368e+00
1.201768532705070082e-05,2.629349950024307834e-06,2.800000000000000000e+01,2.800000000000647304e+01,2.549953098282188524e+00,2.549999999999999822e+00,2.800000000000647304e+01,2.549953098282188524e+00,2.800000000000000000e+01,2.549999997567287569e+00
1.684583317336121771e-05,4.828147846310516892e-06,2.800000000000000000e+01,2.800000000001104183e+01,2.549935760341486723e+00,2.549999999999999822e+00,2.800000000001104183e+01,2.549935760341486723e+00,2.800000000000000000e+01,2.549999996589949358e+00
2.167398101967173461e-05,4.828147846310516892e-06,2.800000000000000000e+01,2.800000000001634604e+01,2.549919197939281013e+00,2.549999999999999822e+00,2.800000000001634604e+01,2.549919197939281013e+00,2.800000000000000000e+01,2.549999995612617365e+00
2.650212886598225150e-05,4.828147846310516892e-06,2.800000000000000000e+01,2.800000000002228973e+01,2.549903355644607572e+00,2.549999999999999822e+00,2.800000000002228973e+01,2.549903355644607572e+00,2.800000000000000000e+01,2.549999994635291589e+00
3.133027671229276839e-05,4.828147846310516892e-06,2.800000000000000000e+01,2.800000000002882317e+01,2.549888183090245342e+00,2.549999999999999822e+00,2.800000000002882317e+01,2.549888183090245342e+00,2.800000000000001066e+01,2.549999993657971586e+00
3.939514554131703331e-05,8.064868829024264920e-06,2.800000000000000000e+01,2.800000000004092016e+01,2.549864208518142661e+00,2.549999999999999822e+00,2.800000000004092016e+01,2.549864208518142661e+00,2.800000000000001066e+01,2.549999992025483664e+00
4.746001437034129823e-05,8.064868829024264920e-06,2.800000000000000000e+01,2.800000000005434941e+01,2.549841783933327388e+00,2.549999999999999822e+00,2.800000000005434941e+01,2.549841783933327388e+00,2.800000000000001066e+01,2.549999990393010396e+00
5.552488319936556315e-05,8.064868829024264920e-06,2.800000000000000000e+01,2.800000000006900081e+01,2.549820741992947948e+00,2.549999999999999822e+00,2.800000000006900081e+01,2.549820741992947948e+00,2.800000000000001776e+01,2.549999988760550451e+00
6.358975202838982807e-05,8.064868829024264920e-06,2.800000000000000000e+01,2.800000000008478196e+01,2.549800935332942498e+00,2.549999999999999822e+00,2.800000000008478196e+01,2.549800935332942498e+00,2.800000000000001776e+01,2.549999987128104717e+00
7.165462085741409299e-05,8.064868829024264920e-06,2.800000000000000000e+01,2.800000000010160406e+01,2.549782234377505841e+00,2.549999999999999822e+00,2.800000000010160406e+01,2.549782234377505841e+00,2.800000000000002842e+01,2.549999985495671417e+00
8.299836742688873994e-05,1.134374656947464695e-05,2.800000000000000000e+01,2.800000000012690649e+01,2.549757585531303050e+00,2.549999999999999822e+00,2.800000000012690649e+01,2.549757585531303050e+00,2.800000000000002842e+01,2.549999983199570330e+00
9.434211399636338688e-05,1.134374656947464695e-05,2.800000000000000000e+01,2.800000000015403501e+01,2.549734630602564334e+00,2.549999999999999822e+00,2.800000000015403501e+01,2.549734630602564334e+00,2.800000000000003908e+01,2.549999980903490560e+00
1.056858605658380338e-04,1.134374656947464695e-05,2.800000000000000000e+01,2.800000000018286173e+01,2.549713143609196209e+00,2.549999999999999822e+00,2.800000000018286173e+01,2.549713143609196209e+00,2.800000000000005684e+01,2.549999978607431217e+00
